id,study,start_date,dob1,dob2,gender,ethnic,eng,edu,emp,age,honest,honest1,honest2
1_1,1,2017-08-22T18:13:05Z,1998,10,Female,Chinese,Yes,High School,Not employed,18.8333333333333,NA,NA,NA
1_2,1,2017-08-22T19:08:30Z,1998,3,Male,White/Caucasian,Yes,High School,"Student,Part time",19.4166666666667,NA,NA,NA
1_3,1,2017-08-22T20:07:45Z,1998,7,Female,"South Asian/Desi (Indian, Pakistani, Sri Lankan etc.)",Yes,High School,Student,19.0833333333333,NA,NA,NA
1_4,1,2017-08-22T20:04:33Z,1998,5,Male,Indonesian,Yes,High School,Student,19.25,NA,NA,NA
1_5,1,2017-08-22T20:35:59Z,1996,12,Female,White/Caucasian,Yes,High School,Not employed,20.6666666666667,NA,NA,NA
1_6,1,2017-08-22T21:32:46Z,1998,10,Female,White/Caucasian,Yes,High School,Student,18.8333333333333,NA,NA,NA
1_7,1,2017-08-22T22:16:19Z,1996,12,Female,Other Asian,Yes,High School,Student,20.6666666666667,NA,NA,NA
1_8,1,2017-08-23T10:15:44Z,1997,2,Female,Chinese,No,High School,Student,20.5,NA,NA,NA
1_9,1,2017-08-23T16:18:41Z,1998,8,Female,"White/Caucasian,Other",Yes,High School,"Student,Part time",19,NA,NA,NA
1_11,1,2017-08-23T16:56:26Z,1998,4,Female,White/Caucasian,Yes,High School,Student,19.3333333333333,NA,NA,NA
1_12,1,2017-08-23T15:38:11Z,1998,5,Female,Other Asian,Yes,High School,Student,19.25,NA,NA,NA
1_15,1,2017-08-23T20:46:08Z,1998,7,Female,White/Caucasian,Yes,High School,Student,19.0833333333333,NA,NA,NA
1_16,1,2017-08-23T22:55:15Z,1998,12,Female,White/Caucasian,Yes,High School,Student,18.6666666666667,NA,NA,NA
1_17,1,2017-08-24T00:03:05Z,1998,10,Female,Indonesian,Yes,High School,Student,18.8333333333333,NA,NA,NA
1_18,1,2017-08-24T12:08:22Z,1998,12,Female,White/Caucasian,Yes,High School,Student,18.6666666666667,NA,NA,NA
1_19,1,2017-08-23T23:46:24Z,1997,7,Male,Chinese,Yes,High School,Student,20.0833333333333,NA,NA,NA
1_21,1,2017-08-24T22:56:54Z,1998,9,Male,"South Asian/Desi (Indian, Pakistani, Sri Lankan etc.)",Yes,High School,"Student,Part time",18.9166666666667,NA,NA,NA
1_22,1,2017-08-25T09:43:42Z,1984,3,Female,White/Caucasian,Yes,Bachelor degree,Student,33.4166666666667,NA,NA,NA
1_23,1,2017-08-25T12:49:22Z,1996,11,Female,White/Caucasian,Yes,High School,Student,20.75,NA,NA,NA
1_24,1,2017-08-25T15:17:50Z,1999,2,Female,White/Caucasian,Yes,High School,Part time,18.5,NA,NA,NA
1_27,1,2017-08-25T19:48:27Z,1998,8,Female,"Chinese,Other Asian",Yes,High School,Student,19,NA,NA,NA
1_28,1,2017-08-25T17:16:38Z,1997,7,Female,Chinese,No,High School,Student,20.0833333333333,NA,NA,NA
1_29,1,2017-08-25T23:59:49Z,1985,2,Prefer not to say,Prefer not to say,Yes,Prefer not to say,Prefer not to say,32.5,NA,NA,NA
1_30,1,2017-08-26T02:01:37Z,1996,1,Female,Chinese,No,High School,Student,21.5833333333333,NA,NA,NA
1_31,1,2017-08-26T14:16:34Z,1995,5,Other,White/Caucasian,Yes,High School,"Student,Part time",22.25,NA,NA,NA
1_32,1,2017-08-26T14:49:04Z,1999,4,Female,Other Asian,Yes,High School,Student,18.3333333333333,NA,NA,NA
1_33,1,2017-08-26T16:28:32Z,1998,9,Female,Middle Eastern,No,High School,Part time,18.9166666666667,NA,NA,NA
