variable,text
bfi_e1_1,"I am someone who - Is outgoing, sociable"
bfi_e1_2,I am someone who - Tends to be quiet
bfi_e1_3,"I am someone who - Is sometimes shy, introverted"
bfi_e1_4,I am someone who - Is talkative
bfi_e2_1,I am someone who - Has an assertive personality
bfi_e2_2,"I am someone who - Is dominant, acts as a leader"
bfi_e2_3,I am someone who - Finds it hard to influence people
bfi_e2_4,I am someone who - Prefers to have others take charge
bfi_e3_1,I am someone who - Rarely feels excited or eager
bfi_e3_2,I am someone who - Is less active than other people
bfi_e3_3,I am someone who - Is full of energy
bfi_e3_4,I am someone who - Shows a lot of Enthusiasm
bfi_a1_1,"I am someone who - Is compassionate, has a soft heart"
bfi_a1_2,I am someone who - Feels little sympathy for others
bfi_a1_3,I am someone who - Is helpful and unselfish with others
bfi_a1_4,I am someone who - Can be cold and uncaring
bfi_a2_1,"I am someone who - Is respectful, treats others with respect"
bfi_a2_2,I am someone who - Starts arguments with others
bfi_a2_3,I am someone who - Is sometimes rude to others
bfi_a2_4,"I am someone who - Is polite, courteous to others"
bfi_a3_1,I am someone who - Tends to find fault with others
bfi_a3_2,I am someone who - Has a forgiving nature
bfi_a3_3,I am someone who - Is suspicious of others’ intentions
bfi_a3_4,I am someone who - Assumes the best about people
bfi_c1_1,I am someone who - Tends to be disorganized
bfi_c1_2,"I am someone who - Is systematic, likes to keep things in order"
bfi_c1_3,I am someone who - Keeps things neat and tidy
bfi_c1_4,"I am someone who - Leaves a mess, doesn’t clean up"
bfi_c2_1,"I am someone who - Is efficient, gets things done"
bfi_c2_2,I am someone who - Tends to be lazy
bfi_c2_3,I am someone who - Has difficulty getting started on tasks
bfi_c2_4,"I am someone who - Is persistent, works until the task is finished"
bfi_c3_1,"I am someone who - Is dependable, steady"
bfi_c3_2,I am someone who - Can be somewhat careless
bfi_c3_3,"I am someone who - Is reliable, can always be counted on"
bfi_c3_4,I am someone who - Sometimes behaves irresponsibly
bfi_n1_1,"I am someone who - Is relaxed, handles stress well"
bfi_n1_2,I am someone who - Can be tense
bfi_n1_3,I am someone who - Worries a lot
bfi_n1_4,I am someone who - Rarely feels anxious or afraid
bfi_n2_1,I am someone who - Stays optimistic after experiencing a setback
bfi_n2_2,"I am someone who - Feels secure, comfortable with self"
bfi_n2_3,I am someone who - Often feels sad
bfi_n2_4,"I am someone who - Tends to feel depressed, blue"
bfi_n3_1,"I am someone who - Is moody, has up and down mood swings"
bfi_n3_2,"I am someone who - Is emotionally stable, not easily upset"
bfi_n3_3,I am someone who - Keeps their emotions under control
bfi_n3_4,"I am someone who - Is temperamental, gets emotional easily"
bfi_o1_1,I am someone who - Has few artistic interests
bfi_o1_2,"I am someone who - Is fascinated by art, music, or literature"
bfi_o1_3,I am someone who - Values art and beauty
bfi_o1_4,I am someone who - Thinks poetry and plays are boring
bfi_o2_1,I am someone who - Is curious about many different things
bfi_o2_2,"I am someone who - Avoids intellectual, philosophical discussions"
bfi_o2_3,"I am someone who - Is complex, a deep thinker"
bfi_o2_4,I am someone who - Has little interest in abstract Ideas
bfi_o3_1,"I am someone who - Is inventive, finds clever ways to do things"
bfi_o3_2,I am someone who - Has little creativity
bfi_o3_3,I am someone who - Has difficulty imagining things
bfi_o3_4,"I am someone who - Is original, comes up with new Ideas"
ip_e1_1,I - Make friends easily
ip_e1_2,I - Warm up quickly to others
ip_e1_3,I - Feel comfortable around people
ip_e1_4,I - Act comfortably with others
ip_e2_1,I - Love large parties
ip_e2_2,I - Talk to a lot of different people at parties
ip_e2_3,I - Don’t like crowded events
ip_e2_4,I - Avoid crowds
ip_e3_1,I - Take charge
ip_e3_2,I - Try to lead others
ip_e3_3,I - Take control of things
ip_e3_4,I - Wait for others to lead the way
ip_e4_1,I - Am always busy
ip_e4_2,I - Am always on the go
ip_e4_3,I - Do a lot in my spare time
ip_e4_4,I - Can manage many things at the same time
ip_e5_1,I - Love excitement
ip_e5_2,I - Seek adventure
ip_e5_3,I - Love action
ip_e5_4,I - Enjoy being reckless
ip_e6_1,I - Radiate joy
ip_e6_2,I - Have a lot of fun
ip_e6_3,I - Love life
ip_e6_4,I - Laugh aloud
ip_a1_1,I - Trust others
ip_a1_2,I - Believe that others have good intentions
ip_a1_3,I - Trust what people say
ip_a1_4,I - Distrust people
ip_a2_1,I - Know how to get around the rules
ip_a2_2,I - Cheat to get ahead
ip_a2_3,I - Take advantage of others
ip_a2_4,I - Use others for my own ends
ip_a3_1,I - Make people feel welcome
ip_a3_2,I - Love to help others
ip_a3_3,I - Am concerned about others
ip_a3_4,I - Turn my back on others
ip_a4_1,I - Love a good fight
ip_a4_2,I - Yell at people
ip_a4_3,I - Insult people
ip_a4_4,I - Get back at others
ip_a5_1,I - Believe that I am better than others
ip_a5_2,I - Think highly of myself
ip_a5_3,I - Have a high opinion of myself
ip_a5_4,I - Boast about my virtues
ip_a6_1,I - Sympathize with the homeless
ip_a6_2,I - Feel sympathy for those who are worse off than myself
ip_a6_3,I - Suffer from others’ sorrows
ip_a6_4,I - Am not interested in other people’s problems
ip_c1_1,I - Complete tasks successfully
ip_c1_2,I - Excel in what I do
ip_c1_3,I - Handle tasks smoothly
ip_c1_4,I - Know how to get things done
ip_c2_1,I - Like order
ip_c2_2,I - Like to tidy up
ip_c2_3,I - Leave a mess in my room
ip_c2_4,I - Leave my belongings around
ip_c3_1,I - Keep my promises
ip_c3_2,I - Tell the truth
ip_c3_3,I - Break my promises
ip_c3_4,I - Get others to do my duties
ip_c4_1,I - Work hard
ip_c4_2,I - Do more than what’s expected of me
ip_c4_3,I - Set high standards for myself and others
ip_c4_4,I - Am not highly motivated to succeed
ip_c5_1,I - Start tasks right away
ip_c5_2,I - Find it difficult to get down to work
ip_c5_3,I - Need a push to get started
ip_c5_4,I - Have difficulty starting tasks
ip_c6_1,I - Jump into things without thinking
ip_c6_2,I - Make rash decisions
ip_c6_3,I - Rush into things
ip_c6_4,I - Act without thinking
ip_n1_1,I - Worry about things
ip_n1_2,I - Fear for the worst
ip_n1_3,I - Am afraid of many things
ip_n1_4,I - Get stressed out easily
ip_n2_1,I - Get angry easily
ip_n2_2,I - Get irritated easily
ip_n2_3,I - Lose my temper
ip_n2_4,I - Rarely get irritated
ip_n3_1,I - Often feel blue
ip_n3_2,I - Dislike myself
ip_n3_3,I - Am often down in the dumps
ip_n3_4,I - Have a low opinion of myself
ip_n4_1,I - Find it difficult to approach others
ip_n4_2,I - Am easily intimidated
ip_n4_3,I - Am not embarrassed easily
ip_n4_4,I - Am able to stand up for myself
ip_n5_1,I - Often eat too much
ip_n5_2,I - Go on binges
ip_n5_3,I - Rarely overindulge
ip_n5_4,I - Am able to control my cravings
ip_n6_1,I - Feel that I’m unable to deal with things
ip_n6_2,I - Know how to cope
ip_n6_3,I - Am calm even in tense situations
ip_n6_4,I - Remain calm under pressure
ip_o1_1,I - Have a vivid imagination
ip_o1_2,I - Love to daydream
ip_o1_3,I - Like to get lost in thought
ip_o1_4,I - Spend time reflecting on things
ip_o2_1,I - See beauty in things that others might not notice
ip_o2_2,I - Do not like art
ip_o2_3,I - Do not like poetry
ip_o2_4,I - Do not enjoy going to art museums
ip_o3_1,I - Experience my emotions intensely
ip_o3_2,I - Feel others' emotions
ip_o3_3,I - Rarely notice my emotional reactions
ip_o3_4,I - Don't understand people who get emotional
ip_o4_1,I - Prefer to stick with things that I know
ip_o4_2,I - Dislike changes
ip_o4_3,I - Don’t like the idea of change
ip_o4_4,I - Am attached to conventional ways
ip_o5_1,I - Am not interested in abstract ideas
ip_o5_2,I - Avoid philosophical discussions
ip_o5_3,I - Have difficulty understanding abstract ideas
ip_o5_4,I - Am not interested in theoretical discussions
ip_o6_1,I - Tend to vote for conservative political candidates
ip_o6_2,I - Believe that there is no absolute right and wrong
ip_o6_3,I - Believe that criminals should receive help rather than punishment
ip_o6_4,I - Believe that too much tax money goes to support artists
aggr_a_1,I flare up quickly but get over it quickly
aggr_a_2,Sometimes I fly off the handle for no good reason
aggr_a_3,I have trouble controlling my temper
aggr_h_1,At times I feel I have gotten a raw deal out of life
aggr_h_2,Other people always seem to get the breaks
aggr_h_3,I wonder why sometimes I feel so bitter about things
aggr_p_1,"Given enough provocation, I may hit another person"
aggr_p_2,There are people who pushed me so far that we came to blows
aggr_p_3,I have threatened people I know
aggr_v_1,I often find myself disagreeing with people
aggr_v_2,I can't help getting into arguments when people disagree with me
aggr_v_3,My friends say that I'm somewhat argumentative
bas_d_1,I go out of my way to get things I want
bas_d_2,When I want something I usually go all-out to get it
bas_d_3,If I see a chance to get something I want I move on it right away
bas_d_4,"When I go after something I use a ""no holds barred"" approach"
bas_fs_1,I'm always willing to try something new if I think it will be fun
bas_fs_2,I will often do things for no other reason than that they might be fun
bas_fs_3,I often act on the spur of the moment
bas_fs_4,I crave excitement and new sensations
bas_r_1,When I'm doing well at something I love to keep at it
bas_r_2,"When I get something I want, I feel excited and energized"
bas_r_3,When I see an opportunity for something I like I get excited right away
bas_r_4,"When good things happen to me, it affects me strongly"
bas_r_5,It would excite me to win a contest
bis_1,"Even if something bad is about to happen to me, I rarely experience fear or nervousness"
bis_2,Criticism or scolding hurts me quite a bit
bis_3,I feel pretty worried or upset when I think or know somebody is angry at me
bis_4,"If I think something unpleasant is going to happen I usually get pretty ""worked up"""
bis_5,I feel worried when I think I have done poorly at something important
bis_6,I have very few fears compared to my friends
bis_7,I worry about making mistakes
erreap_1,"When I want to feel more positive emotion (such as joy or amusement), I change what I’m thinking about"
erreap_2,"When I want to feel less negative emotion (such as sadness or anger), I change what I’m thinking about"
erreap_3,"When I’m faced with a stressful situation, I make myself think about it in a way that helps me stay calm"
erreap_4,"When I want to feel more positive emotion, I change the way I’m thinking about the situation"
erreap_5,I control my emotions by changing the way I think about the situation I’m in
erreap_6,"When I want to feel less negative emotion, I change the way I’m thinking about the situation"
ersup_1,I keep my emotions to myself
ersup_2,"When I am feeling positive emotions, I am careful not to express them"
ersup_3,I control my emotions by not expressing them
ersup_4,"When I am feeling negative emotions, I make sure not to express them"
empec_1,"I often have tender, concerned feelings for people less fortunate than me"
empec_2,"When I see someone being taken advantage of, I feel kind of protective toward them"
empec_3,"When I see someone being treated unfairly, I feel very much pity for them"
empec_4,I would describe myself as a pretty soft-hearted person
empf_1,I really get involved with the feelings of the characters in a novel
empf_2,"After seeing a play or movie, I have felt as though I were one of the characters"
empf_3,"When I watch a good movie, I can very easily put myself in the place of a leading character"
empf_4,"When I am reading an interesting story or novel, I imagine how I would feel if the events in the story were happening to me"
emppd_1,"In emergency situations, I feel apprehensive and ill-at-ease"
emppd_2,Being in a tense emotional situation scares me
emppd_3,I tend to lose control during emergencies
emppd_4,"When I see someone who badly needs help in an emergency, I go to pieces"
emppt_1,I try to look at everybody’s side of a disagreement before I make a decision
emppt_2,I sometimes try to understand my friends better by imagining how things look from their perspective
emppt_3,"When I’m upset at someone, I usually try to “put myself in his shoes” for a while"
emppt_4,"Before criticizing somebody, I try to imagine how I would feel if I were in their place"
grit_c_1,I often set a goal but later choose to pursue a different one
grit_c_2,New ideas and new projects sometimes distract me from previous ones
grit_c_3,I become interested in new pursuits every few months
grit_c_4,My interests change from year to year
grit_c_5,I have been obsessed with a certain idea or project for a short time but later lost interest
grit_c_6,I have difficulty maintaining my focus on projects that take more than a few months to complete
grit_p_1,I have achieved a goal that took years of work
grit_p_2,I have overcome setbacks to conquer an important challenge
grit_p_3,I finish whatever I begin
grit_p_4,Setbacks don’t discourage me
grit_p_5,I am a hard worker
grit_p_6,I am diligent
hope_a_1,I energetically pursue my goals
hope_a_2,My past experiences have prepared me well for my future
hope_a_3,I've been pretty successful in life
hope_a_4,I meet the goals that I set for myself
hope_p_1,I can think of many ways to get out of a jam
hope_p_2,There are lots of ways around any problem
hope_p_3,I can think of many ways to get the things in life that are most important to me
hope_p_4,"Even when others get discouraged, I know I can find a way to solve the problem"
imp_a_1,I am restless at lectures or talks
imp_a_2,I squirm at plays or lectures
imp_a_3,I concentrate easily
imp_a_4,I don't pay attention
imp_a_5,I am easily bored solving thought problems
imp_m_1,I act on impulse
imp_m_2,I act on the spur of the moment
imp_m_3,I do things without thinking
imp_m_4,I say things without thinking
imp_m_5,I buy things on impulse
imp_np_1,I plan for job security
imp_np_2,I plan for the future
imp_np_3,I save regularly
imp_np_4,I plan tasks carefully
imp_np_5,I am a careful thinker
mndfn_1,I could be experiencing some emotion and not be conscious of it until sometime later
mndfn_2,"I break or spill things because of carelessness, not paying attention, or thinking of something else"
mndfn_3,I find it difficult to stay focused on what’s happening in the present
mndfn_4,I tend to walk quickly to get where I’m going without paying attention to what I experience along the way
mndfn_5,I tend not to notice feelings of physical tension or discomfort until they really grab my attention
mndfn_6,I forget a person’s name almost as soon as I’ve been told it for the first time
mndfn_7,It seems I am “running on automatic” without much awareness of what I’m doing
mndfn_8,I rush through activities without being really attentive to them
mndfn_9,I get so focused on the goal I want to achieve that I lose touch with what I am doing right now to get there
mndfn_10,"I do jobs or tasks automatically, without being aware of what I’m doing"
mndfn_11,"I find myself listening to someone with one ear, doing something else at the same time"
mndfn_12,I drive places on “automatic pilot” and then wonder why I went there
mndfn_13,I find myself preoccupied with the future or the past
mndfn_14,I find myself doing things without paying attention
mndfn_15,I snack without being aware that I’m eating
nfc_1,I would prefer complex to simple problems
nfc_2,I like to have the responsibility of handling a situation that requires a lot of thinking
nfc_3,Thinking is not my idea of fun
nfc_4,I would rather do something that requires little thought than something that is sure to challenge my thinking abilities.
nfc_5,I try to anticipate and avoid situations where there is likely chance I will have to think in depth about something
nfc_6,I find satisfaction in deliberating hard and for long hours
nfc_7,I only think as hard as I have to
nfc_8,I prefer to think about small daily projects to long-term ones
nfc_9,I like tasks that require little thought once I've learned them
nfc_10,The idea of relying on thought to make my way to the top appeals to me
nfc_11,I really enjoy a task that involves coming up with new solutions to problems
nfc_12,Learning new ways to think doesn't excite me very much
nfc_13,I prefer my life to be filled with puzzles that I must solve
nfc_14,The notion of thinking abstractly is appealing to me
nfc_15,"I would prefer a task that is intellectual, difficult, and important to one that is somewhat important but does not require much thought"
nfc_16,I feel relief rather than satisfaction after completing a task that required a lot of mental effort
nfc_17,It's enough for me that something gets the job done; I don't care how or why it works
nfc_18,I usually end up deliberating about issues even when they do not affect me personally
opt_1,"In uncertain times, I usually expect the best"
opt_2,"If something can go wrong for me, it will"
opt_3,I'm always optimistic about my future
opt_4,I hardly ever expect things to go my way
opt_5,I rarely count on good things happening to me
opt_6,"Overall, I expect more good things to happen to me than bad"
pain_h_1,"When I'm in pain, I worry all the time about whether the pain will end"
pain_h_2,"When I'm in pain, I feel I can't go on"
pain_h_3,"When I'm in pain, it's terrible and I think it's never going to get any better"
pain_h_4,"When I'm in pain, it's aweful and I fell that it overwhelms me"
pain_h_5,"When I'm in pain, I feel I can't stand it anymore"
pain_h_6,"When I'm in pain, there's nothing I can do to reduce the intensity of the pain"
pain_m_1,"When I'm in pain, I become afraid that the pain will get worse"
pain_m_2,"When I'm in pain, I keep thinking of other painful events"
pain_m_3,"When I'm in pain, I wonder whether something serious may happen"
pain_r_1,"When I'm in pain, I anxiously want the pain to go away"
pain_r_2,"When I'm in pain, I can't seem to keep it out of my mind"
pain_r_3,"When I'm in pain, I keep thinking about how much it hurts"
pain_r_4,"When I'm in pain, I keep thinking about how badly I want the pain to stop"
pwb_a_1,I tend to be influenced by people with strong opinions
pwb_a_2,"I have confidence in my own opinions, even if they are different from the way most other people think"
pwb_a_3,"I judge myself by what I think is important, not by the values of what others think is important"
pwb_em_1,The demands of everyday life often get me down
pwb_em_2,"In general, I feel I am in charge of the situation in which I live"
pwb_em_3,I am good at managing the responsibilities of daily life
pwb_pg_1,"For me, life has been a continuous process of learning, changing, and growth"
pwb_pg_2,I think it is important to have new experiences that challenge how I think about myself and the world
pwb_pg_3,I gave up trying to make big improvements or changes in my life a long time ago
pwb_pr_1,Maintaining close relationships has been difficult and frustrating for me
pwb_pr_2,"People would describe me as a giving person, willing to share my time with others"
pwb_pr_3,I have not experienced many warm and trusting relationships with others
pwb_pl_1,Some people wander aimlessly through life but I am not one of them
pwb_pl_2,I live life one day at a time and don’t really think about the future
pwb_pl_3,I sometimes feel as if I’ve done all there is to do in life
pwb_sa_1,I like most parts of my personality
pwb_sa_2,"When I look at the story of my life, I am pleased with how things have turned out so far"
pwb_sa_3,"In many ways, I feel disappointed about my achievements in life"
satwl_1,In most ways my life is close to my ideal
satwl_2,The conditions of my life are excellent
satwl_3,I am satisfied with my life
satwl_4,So far I have gotten the important things I want in life
satwl_5,"If I could live my life over, I would change almost nothing"
scomp_1,When I fail at something important to me I become consumed by feelings of inadequacy
scomp_2,I try to be understanding and patient towards those aspects of my personality I don’t like
scomp_3,When something painful happens I try to take a balanced view of the situation.
scomp_4,When I’m feeling down I tend to feel like most other people are probably happier than I am.
scomp_5,I try to see my failings as part of the human condition
scomp_6,"When I’m going through a very hard time, I give myself the caring and tenderness I need"
scomp_7,When something upsets me I try to keep my emotions in balance
scomp_8,When I fail at something that’s important to me I tend to feel alone in my failure
scomp_9,When I’m feeling down I tend to obsess and fixate on everything that’s wrong
